index,ocn,name,brand
1,6872,GCI COMMUNICATION CORP. DBA GENERAL COMMUNICATION,
2,6563,CELLCO PARTNERSHIP DBA VERIZON WIRELESS,
3,9413,"LEVEL 3 COMMUNICATIONS, LLC - AK",
4,6010,"NEW CINGULAR WIRELESS PCS, LLC",AT&T
5,7785,GCI COMMUNICATION CORP. DBA GENERAL COMMUNICATION,
6,321J,HD CARRIER LLC,
7,158J,OPTIMERA INC.,
8,3023,"UNITED UTILITIES, INC.",
9,3011,"INTERIOR TEL. CO., INC.",
10,3013,KETCHIKAN PUBLIC UTILITIES,
11,3030,"ACS OF THE NORTHLAND, INC.",
12,588F,"TELALASKA CELLULAR, INC.",
13,3018,"NUSHAGAK ELECTRIC & TELEPHONE COOPERATIVE, INC.",
14,3000,"ACS OF ANCHORAGE, INC.",
15,3003,"BRISTOL BAY TEL. COOP., INC.",
16,724J,"TELEPORT COMMUNICATIONS AMERICA, LLC",
17,6292,COPPER VALLEY CELLULAR,
18,3017,ALASKA TELEPHONE COMPANY,
19,3006,"COPPER VALLEY TEL. COOP., INC.",
20,6882,"CORDOVA WIRELESS COMMUNICATIONS, INC.",
21,3015,"MATANUSKA TEL. ASSN., INC.",
22,3022,"ACS OF ALASKA, INC.",
23,3019,"OTZ TEL. COOP., INC.",
24,3025,"YUKON TEL. CO., INC.",
25,6354,ASTAC WIRELESS LLC,
26,3001,"ARCTIC SLOPE TEL. ASSN. COOP., INC.",
27,3028,SUMMIT TEL,
28,3027,"ALASCOM, INC. DBA AT&T ALASKA",
29,3007,"CORDOVA TEL. COOP., INC.",
30,6747,BRISTOL BAY CELLULAR PARTNERSHIP,
31,3004,"BUSH-TEL, INC.",
32,3016,"MUKLUK TEL. CO., INC.",
33,3008,"ACS OF FAIRBANKS, INC.",
34,1449,"UNITED-KUC, INC. - AK",
35,197D,VONAGE AMERICA LLC,
36,3002,BETTLES TEL. CO.,
37,3026,NORTH COUNTRY TEL. CO.,
38,370F,WINDY CITY CELLULAR,
39,989C,ADAK EAGLE ENTERPRISE LLC DBA ADAK TEL UTILITY,
40,073H,TELNYX LLC,
41,318J,"COMCAST IP PHONE, LLC",
42,3005,"CIRCLE TELEPHONE & ELECTRIC, LLC",
43,114J,EXIANT COMMUNICATIONS LLC,
44,753H,"WIDE VOICE, LLC - AK",
45,3685,"GLOBALSTAR USA, INC.",
46,6181,"OTZ TELECOMMUNICATIONS, INC.",
47,7475,"POWERTEL BIRMINGHAM LICENSES, INC.",
48,045L,"BHN IP ENABLED SERVICES, LLC",
49,604E,"ONVOY, LLC - AL",
50,9419,BELLSOUTH TELECOMM INC DBA SOUTH CENTRAL BELL TEL,AT&T Southeast
51,624H,"ONVOY SPECTRUM, LLC",
52,072F,"BANDWIDTH.COM CLEC, LLC - AL",
53,6804,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,
54,5562,"METROPCS, INC.",Metro by T-Mobile
55,6214,"NEW CINGULAR WIRELESS PCS, LLC - GA",
56,829J,"PAETEC ITEL, LLC",
57,9736,PINE BELT BROADCASTING DBA PINE BELT TEL COMP SVCS,
58,9789,"BRIGHTSPEED OF ALABAMA, LLC - NORTHERN",
59,516C,"AT&T ENTERPRISES, LLC",
60,7327,"LEVEL 3 TELECOM OF ALABAMA, LLC - AL",
61,5255,"LEVEL 3 COMMUNICATIONS, LLC - AL",
62,0312,"OTELCO TELEPHONE, LLC",
63,792K,"CHARTER IP ENABLED SERVICES, LLC",
64,8271,"TELEPORT COMMUNICATIONS AMERICA, LLC - AL",
65,6744,"SOUTHERN COMMUNICATIONS SERVICES, INC.",
66,7421,AT&T - LOCAL,
67,2741,"BELLSOUTH TELECOMMUNICATIONS, LLC",
68,0307,MOUNDVILLE TEL. CO.,
69,508J,"CENTURYLINK COMMUNICATIONS, LLC",
70,0284,"BUTLER TEL. CO., INC.",
71,0282,BLOUNTSVILLE TELEPHONE LLC,
72,4260,"PINE BELT CELLULAR, INC.",
73,0300,HOPPER TELECOMMUNICATIONS LLC,
74,0302,"WINDSTREAM ALABAMA, INC.",
75,0316,"RAGLAND TEL. CO., INC.",
76,6630,"SPOK, INC.",
77,0173,BROADRIVER COMMUNICATION CORPORATION - GA,
78,476H,"AIRUS, INC. - AL",
79,7469,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - AL,
80,7229,MCIMETRO ACCESS TRANSMISSION SERVICES LLC,
81,947G,"TELEPAK NETWORKS, INC. - AL",
82,0301,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - AL",
83,0311,"OAKMAN TEL. CO., INC.",
84,593K,MCC TELEPHONY LLC,
85,551G,"NUSO, LLC",
86,507J,"THE VOICE APPLICATION NETWORK, LLC",
87,996H,"AIRESPRING, INC.",
88,432J,"HARGRAY OF ALABAMA, INC. - AL",
89,597F,"VOIP INNOVATIONS, LLC",
90,6581,"CELLULAR SOUTH, INC.",
91,939H,"COMMIO, LLC",
92,764H,"WIDE VOICE, LLC - AL",
93,965H,"FRACTEL, LLC",
94,807C,INTRADO COMMUNICATIONS LLC,
95,6916,"ELISKA WIRELESS VENTURES SUBSIDIARY I, LLC",
96,773F,"MCC TELEPHONY OF THE SOUTH, LLC - AL",
97,0306,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - AL",
98,7221,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - AL,
99,4464,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - AL",
100,425J,"CSC WIRELESS, LLC",
101,478J,"NUSO, LLC",
102,515J,IP HORIZON LLC,
103,156J,"RCLEC, INC.",
104,732J,"NUSO, LLC",
105,490J,BOOST SUBSCRIBERCO L.L.C.,
106,506J,"TWILIO INTERNATIONAL, INC.",
107,700J,"WAVENATION, LLC",
108,0298,BRIGHTSPEED OF SOUTHERN ALABAMA,
109,0304,MILLRY TEL. CO.,
110,9417,BELLSOUTH TELECOMM INC DBA SOUTHERN BELL TEL & TEL,
111,0285,"CASTLEBERRY TEL. CO., INC.",
112,145J,TERRA NOVA TELECOM INC.,
113,9788,"BRIGHTSPEED OF ALABAMA, LLC - SOUTHERN",
114,0314,"PEOPLES TEL. CO., INC.",
