index,ocn,name,brand
1,,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",AT&T Mexico
2,,"RADIOMOVIL DIPSA, S.A. DE C.V.",Telcel
3,,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",Telmex
4,,"TELEFONOS DEL NOROESTE, S.A. DE C.V.",Telnor
5,,"PEGASO PCS, S.A. DE C.V.",Movistar
6,,"OPERBES, S.A. DE C.V. (ANTES BESTPHONE, S.A. DE C.V.)",
7,,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",
8,,"ALTCEL, S.A.P.I. DE C.V.",
9,,"TELECOMUNICACIONES 360, S.A. DE C.V.",
10,,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",Totalplay
11,,"CONVERGIA DE MEXICO, S.A. DE C.V.",
12,,"ALTÁN REDES, S.A.P.I. DE C.V.",Altán Redes
13,,"AXTEL, S.A.B. DE C.V. (ANTES AVANTEL, S. DE R.L. DE C.V.)",
14,,"COORDINADORA DE CARRIER’S, S.A. DE C.V.",
15,,"AXTEL, S.A.B. DE C.V.",
16,,"AXTEL, S.A.B. DE C.V. (ANTES ALESTRA)",
17,,"MEGA CABLE, S.A. DE C.V.",
18,,"VINOC, S.A.P.I. DE C.V.",
19,,"MEGANET TELECOMUNICACIONES, S.A. DE C.V.",
20,,"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",
21,,"COMUNICALO DE MEXICO, S.A. DE C.V.",
22,,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",
23,,"CELMAX MÓVIL, S.A. DE C.V.",
24,,"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",
25,,"IP MATRIX, S.A. DE C.V.",
26,,"FREEDOMPOP MÉXICO, S.A. DE C.V.",
27,,"ALESTRA SERVICIOS MÓVILES, S.A. DE C.V.",
28,,"CLEARCOM COMUNICACIONES, S.A.P.I. DE C.V.",
29,,"TELECOMMERCE ACCES SERVICE, S.A. DE C.V.",
30,,"TELEVISION INTERNACIONAL, S.A. DE C.V.",
31,,"VAMRA COMUNICACIONES, S.A. DE C.V.",
32,,"DIRECTO TELECOM, S.A. DE C.V.",
33,,"INBTEL, S.A. DE C.V.",
34,,"OPERBES, S.A. DE C.V.",
35,,"MBT MÓVIL, S. DE R.L. DE C.V.",
36,,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",
37,,"VALOR AGREGADO DIGITAL, S.A. DE C.V.",
38,,"COEFICIENTE COMUNICACIONES, S.A. DE C.V.",
39,,"ROBOT COMUNICACIONES, S. DE R.L. DE C.V.",
40,,"DIALOGA GROUP TELECOM, S.A. DE C.V.",
41,,"KUBO CEL, S.A.P.I. DE C.V.",
42,,"ESMERO SOLUTIONS MEXICO, S.A. DE C.V.",
43,,"OXIO MOBILE, S.A. DE C.V.",
44,,"OPENIP COMUNICACIONES, S.A. DE C.V.",
45,,"TELIGENTIA, S.A. DE C.V.",
46,,"FLYNODE DE MÉXICO, S.A. DE C.V.",
47,,"STARSATEL, S.A. DE C.V.",
48,,"ABIX TELECOMUNICACIONES, S.A. DE C.V.",
49,,"CONNECT TELECOM, S. DE R.L. DE C.V.",
50,,"OME TEL, S.A. DE C.V.",
51,,"IBO CELL, S.A.P.I. DE C.V.",
52,,"VIASAT TECNOLOGÍA, S.A. DE C.V.",
53,,"IENTC, S. DE R.L. DE C.V.",
54,,"PLINTRON MÉXICO, S.A. DE C.V.",
55,,"CENTERNEXT CLOUD SERVICES, S.A. DE C.V.",
56,,"SPARKTELECOMM, S.A. DE C.V.",
57,,"SERVNET MEXICO, S.A. DE C.V.",
58,,"IDT TELECOM MÉXICO, S. DE R.L. DE C.V.",
59,,"EL PODER DE INTERNET, S.A. DE C.V.",
60,,"VOZTELECOM LATINOAMERICA, S.A. DE C.V.",
61,,ALEJANDRO PÉREZ MACÍAS,
62,,MIGUEL ANGEL GONZALEZ DOBARGANES,
63,,"NGX NETWORKS, S. DE R.L. DE C.V.",
64,,"SERVICE TRENDS, S.A. DE C.V.",
65,,"CORPORACIÓN NOVAVISIÓN, S. DE R.L. DE C.V.",
66,,"ENTRETENIMIENTO Y TELECOMUNICACIONES, S.A. DE C.V.",
67,,SERVICIOS DE INFRAESTRUCTURA DE RADIOCOMUNICACIÓN Y REDES PRIVADAS DE DATOS HYPERNET,
68,,"PROCOM SERVICIOS INTELIGENTES, S.A. DE C.V.",
69,,"NEXT TELEKOM, S.A.P.I. DE C.V.",
70,,"DIGYNETWORKS SOLUCIONES Y REDES, S.A. DE C.V.",
71,,"INFORMÁTICA ARQUISYSTEMS, S. DE R.L. DE C.V.",
