ocn,class
# Format: <4-char OCN>,<wireline|wireless|voip|tollfree>
#
# THIS FILE IS THE MAINTENANCE BURDEN OF THE SYSTEM. Everything else is
# static code; this decays as carriers merge and new OCNs are issued.
#
#  1. Never regex over company names. T-Mobile alone sits behind OCNs from
#     Voicestream, MetroPCS and Sprint; name matching misfiles the MVNO tail.
#  2. A missing OCN yields Unknown, not a guess. Abstaining costs one result;
#     guessing wrong costs a customer.
#  3. Classify CLEC and interconnected-VoIP holders as `voip`. Twilio and
#     Bandwidth DIDs are SMS-reachable despite wireline assignment.
#  4. Run `ltbuild -report` after every rebuild; work the unmapped list
#     top-down, it's sorted by how many blocks each missing code costs you.
#
# EXAMPLES ONLY - DELETE BEFORE PRODUCTION
# 6529,wireless
# 6006,wireline
# 7182,voip

# --- verified by hand from the assignment data, most-blocks-first ---
# OCN 6214  NEW CINGULAR WIRELESS PCS, LLC - GA   (AT&T Mobility)   52,061 blocks
6214,wireless
# Format from here down: ocn,class,brand
# The third column is the operator's human-facing name, used for display only.
# It never affects classification. Left blank, the published legal entity is
# shown instead - which is often unrecognisable ("NEW CINGULAR WIRELESS PCS,
# LLC - IL" is AT&T).
6529,wireless,T-Mobile
6534,wireless,AT&T
5562,wireless,Metro by T-Mobile
9329,wireline,AT&T Illinois
6701,wireless,T-Mobile
9321,wireline,AT&T Ohio
899D,wireless,Metro by T-Mobile
6846,wireless,T-Mobile
6010,wireless,AT&T
6567,wireless,Verizon
9419,wireline,AT&T Southeast
6827,wireless,Verizon
6506,wireless,Verizon
0695,wireline,Frontier
6502,wireless,Verizon
9533,wireline,AT&T Southwest
6324,wireless,Verizon
9636,wireline,CenturyLink
6574,wireless,Bell Mobility
8051,wireline,Bell Canada
5643,wireless,Fido
5111,wireline,Consolidated Communications

# --- from localcallingguide.com LERG carrier category, via cmd/ocnprobe ---
# I=ILEC->wireline  W=Wireless->wireless  C=CLEC->voip (SMS-reachable, rule 3)
9740,wireline
4036,wireless
829J,voip
9417,wireline
624H,wireless
6006,wireless
9104,wireline
318J,voip
649C,voip
8821,wireless
154E,voip
7229,voip
6630,voip
903C,voip
464D,voip
6622,wireless
073H,voip
9631,wireline
9208,wireline
9206,wireline
145J,voip
6889,wireless
9102,wireline
8303,wireless
9323,wireline
793K,voip
981E,voip
6959,wireless
937C,voip
6025,wireless
9638,wireline
939H,voip
384C,voip
508J,voip
515J,voip
8050,wireline
8086,wireline
8084,wireline
516J,voip
547E,voip
6623,wireless,T-Mobile

# --- LERG carrier category via cmd/ocnprobe, 2026-08-03 ---
# I=ILEC->wireline  W=Wireless->wireless  C=CLEC->voip (SMS-reachable, rule 3)
8645,wireless
2964,wireless
224C,voip
6855,wireless
9212,wireline
6003,wireless
9213,wireline
6392,wireless
965H,voip
081E,voip
2319,wireline
4727,voip
464C,voip
6333,wireless
6540,wireless
9748,wireless
2782,voip
8306,voip
8826,voip
8301,wireless
067D,voip
004F,voip
7473,wireless
792K,voip
638E,voip
543C,voip
997E,voip
9147,wireline
6391,wireless
9325,wireline
516C,voip
637C,voip
0328,wireline
9327,wireline
6626,wireless
982E,voip
093F,voip
490J,wireless
097D,voip
6114,voip
6387,wireless
2243,voip
743B,voip
138E,voip
671J,voip
8091,wireline
6673,wireless
6572,wireless
892D,voip
4878,voip
497E,voip
604E,voip
184D,voip
