index,region,country_code,country
1,AK,US,United States
2,AL,US,United States
3,AR,US,United States
4,AS,US,United States
5,AZ,US,United States
6,CA,US,United States
7,CO,US,United States
8,CT,US,United States
9,DC,US,United States
10,DE,US,United States
11,FL,US,United States
12,GA,US,United States
13,GU,US,United States
14,HI,US,United States
15,IA,US,United States
16,ID,US,United States
17,IL,US,United States
18,IN,US,United States
19,KS,US,United States
20,KY,US,United States
21,LA,US,United States
22,MA,US,United States
23,MD,US,United States
24,ME,US,United States
25,MI,US,United States
26,MN,US,United States
27,MO,US,United States
28,MS,US,United States
29,MT,US,United States
30,NC,US,United States
31,ND,US,United States
32,NE,US,United States
33,NH,US,United States
34,NJ,US,United States
35,NM,US,United States
36,NN,US,United States
37,NV,US,United States
38,NY,US,United States
39,OH,US,United States
40,OK,US,United States
41,OR,US,United States
42,PA,US,United States
43,PR,US,United States
44,RI,US,United States
45,SC,US,United States
46,SD,US,United States
47,TN,US,United States
48,TX,US,United States
49,UT,US,United States
50,VA,US,United States
51,VI,US,United States
52,VT,US,United States
53,WA,US,United States
54,WI,US,United States
55,WV,US,United States
56,WY,US,United States
57,MB,CA,Canada
58,ON,CA,Canada
59,BC,CA,Canada
60,QC,CA,Canada
61,SK,CA,Canada
62,AB,CA,Canada
63,NB,CA,Canada
64,NL,CA,Canada
65,NS,CA,Canada
66,PE,CA,Canada
67,NT,CA,Canada
68,NU,CA,Canada
69,YT,CA,Canada
